file_id,table,X,Y,Z
7264388,3,0.0,64.0,2.0
7264388,3,-56.0,-14.0,-4.0
7264388,3,50.0,-2.0,-22.0
7264388,3,2.0,-6.0,6.0
7264388,3,2.0,-90.0,0.0
7264388,3,-26.0,-26.0,-12.0
7264388,3,40.0,-10.0,-24.0
7264388,3,28.0,-98.0,-2.0
7264388,3,-38.0,-20.0,-12.0
7264388,3,-36.0,-74.0,56.0
7264388,3,-34.0,-78.0,54.0
7264388,3,6.0,-26.0,22.0
7264388,3,-6.0,-30.0,20.0
7264388,1,-4.0,22.0,32.0
7264388,1,-4.0,40.0,18.0
7264388,1,-4.0,26.0,26.0
7264388,1,2.0,50.0,0.0
4863427,3,-36.0,-12.0,44.0
4863427,3,-6.0,10.0,34.0
4863427,3,-10.0,-26.0,16.0
4863427,3,-12.0,-54.0,54.0
4863427,3,36.0,12.0,14.0
4863427,3,54.0,-58.0,34.0
4863427,3,16.0,36.0,46.0
4863427,3,12.0,54.0,20.0
4863427,2,8.0,12.0,58.0
4863427,2,-30.0,22.0,22.0
4863427,2,42.0,10.0,0.0
4863427,2,-6.0,14.0,42.0
4863427,2,62.0,-22.0,34.0
4863427,2,68.0,-24.0,38.0
4863427,2,18.0,-70.0,-22.0
4863427,2,32.0,-94.0,-8.0
4863427,2,18.0,-88.0,20.0
4863427,2,46.0,-60.0,28.0
4863427,2,-10.0,-56.0,24.0
4863427,2,26.0,-28.0,44.0
4863427,2,8.0,42.0,-12.0
4863427,2,8.0,-18.0,-12.0
4863427,2,62.0,-78.0,30.0
4863427,2,-62.0,-48.0,-18.0
7223160,6,-9.0,-12.0,-9.0
7223160,6,-45.0,-12.0,9.0
7223160,6,-39.0,9.0,-24.0
7223160,7,-6.0,-12.0,-12.0
7223160,7,-42.0,-18.0,6.0
